Time    Pdcmap    Quarter
     581.421038       0.988575       7.000000
     581.461904       0.988452       7.000000
     581.482337       0.988625       7.000000
     581.502769       0.988384       7.000000
     581.523203       0.988473       7.000000
     581.543635       0.988533       7.000000
     581.564068       0.988765       7.000000
     581.584501       0.988421       7.000000
     581.604934       0.988552       7.000000
     581.625367       0.988598       7.000000
     581.645800       0.988460       7.000000
     581.666233       0.988319       7.000000
     581.686666       0.988573       7.000000
     581.707099       0.988407       7.000000
     581.747965       0.988357       7.000000
     581.768398       0.988249       7.000000
     581.788830       0.988292       7.000000
     581.809263       0.988139       7.000000
     581.829696       0.988288       7.000000
     581.850129       0.988496       7.000000
     581.870562       0.988574       7.000000
     581.890995       0.988512       7.000000
     581.911428       0.988498       7.000000
     581.931861       0.988239       7.000000
     581.952294       0.988459       7.000000
     581.972727       0.988395       7.000000
     581.993160       0.988336       7.000000
     582.013593       0.988476       7.000000
     582.034026       0.988637       7.000000
     582.054458       0.988544       7.000000
     582.074891       0.988352       7.000000
     582.095324       0.988753       7.000000
     582.115757       0.988438       7.000000
     582.136190       0.988598       7.000000
     582.156623       0.988384       7.000000
     582.177056       0.988421       7.000000
     582.197489       0.988210       7.000000
     582.217922       0.988397       7.000000
     582.238355       0.988702       7.000000
     582.258788       0.988416       7.000000
     582.279221       0.988419       7.000000
     582.299653       0.988511       7.000000
     582.320086       0.988483       7.000000
     582.340519       0.988542       7.000000
     582.360952       0.988218       7.000000
     582.381385       0.988372       7.000000
     582.401818       0.988616       7.000000
     582.422251       0.988361       7.000000
     582.442684       0.988360       7.000000
     582.463117       0.988328       7.000000
     582.483550       0.988144       7.000000
     582.503983       0.988445       7.000000
     582.524416       0.988149       7.000000
     582.544848       0.988550       7.000000
     582.565281       0.988489       7.000000
     582.585714       0.988366       7.000000
     582.606147       0.988501       7.000000
     582.626580       0.988387       7.000000
     582.647013       0.988241       7.000000
     582.667446       0.988607       7.000000
     582.687879       0.988499       7.000000
     582.708312       0.988647       7.000000
     582.728745       0.988549       7.000000
     582.749178       0.988703       7.000000
     582.769611       0.988391       7.000000
     582.790043       0.988355       7.000000
     582.810476       0.988760       7.000000
     582.830909       0.988502       7.000000
     582.851342       0.988305       7.000000
     582.871775       0.988484       7.000000
     582.892208       0.988625       7.000000
     582.912641       0.988758       7.000000
     582.933074       0.988585       7.000000
     582.953507       0.988600       7.000000
     582.973940       0.988223       7.000000
     582.994373       0.988511       7.000000
     583.014806       0.988636       7.000000
     583.035238       0.988648       7.000000
     583.055671       0.988488       7.000000
     583.076104       0.988541       7.000000
     583.096537       0.988563       7.000000
     583.116970       0.988473       7.000000
     583.157836       0.988555       7.000000
     583.178269       0.988242       7.000000
     583.198702       0.988423       7.000000
     583.219135       0.988325       7.000000
     583.239568       0.988532       7.000000
     583.260001       0.988377       7.000000
     583.280434       0.988303       7.000000
     583.300866       0.988228       7.000000
     583.321299       0.988515       7.000000
     583.341732       0.988392       7.000000
     583.362165       0.988636       7.000000
     583.382598       0.988633       7.000000
     583.403031       0.988239       7.000000
     583.423464       0.988572       7.000000
     583.443897       0.988421       7.000000
     583.464330       0.988269       7.000000
     583.484763       0.988610       7.000000
     583.505196       0.988326       7.000000
     583.525629       0.988477       7.000000
     583.546061       0.988362       7.000000
     583.566494       0.988729       7.000000
     583.586927       0.988373       7.000000
     583.607360       0.988617       7.000000
     583.627793       0.988761       7.000000
     583.648226       0.988563       7.000000
     583.668659       0.988369       7.000000
     583.689092       0.988755       7.000000
     583.709525       0.988545       7.000000
     583.729958       0.988210       7.000000
     583.750391       0.988697       7.000000
     583.770823       0.988452       7.000000
     583.791256       0.988643       7.000000
     583.811689       0.988231       7.000000
     583.832122       0.988416       7.000000
     583.852555       0.988374       7.000000
     583.872988       0.988403       7.000000
     583.893421       0.988159       7.000000
     583.913854       0.988307       7.000000
     583.934287       0.988372       7.000000
     583.954720       0.988687       7.000000
     583.975153       0.988885       7.000000
     583.995586       0.988520       7.000000
     584.016018       0.988594       7.000000
     584.036451       0.988347       7.000000
     584.056884       0.988481       7.000000
     584.077317       0.988414       7.000000
     584.097750       0.988416       7.000000
     584.118183       0.988588       7.000000
     584.138616       0.988406       7.000000
     584.159049       0.988201       7.000000
     584.179482       0.988342       7.000000
     584.199915       0.988360       7.000000
     584.220348       0.988382       7.000000
     584.240781       0.988359       7.000000
     584.261213       0.988373       7.000000
     584.281646       0.988496       7.000000
     584.302079       0.988533       7.000000
     584.322512       0.988675       7.000000
     584.342945       0.988504       7.000000
     584.363378       0.988340       7.000000
     584.383811       0.988452       7.000000
     584.404244       0.988520       7.000000
     584.424677       0.988404       7.000000
     584.445110       0.988344       7.000000
     584.465543       0.988513       7.000000
     584.485975       0.988482       7.000000
     584.506408       0.988451       7.000000
     584.526841       0.988663       7.000000
     584.547274       0.988363       7.000000
     584.567707       0.988379       7.000000
     584.588140       0.988365       7.000000
     584.608573       0.988309       7.000000
     584.629006       0.988521       7.000000
     584.649439       0.988401       7.000000
     584.669872       0.988523       7.000000
     584.690305       0.988551       7.000000
     584.710738       0.988358       7.000000
     584.731170       0.988583       7.000000
     584.751603       0.988617       7.000000
     584.772036       0.988444       7.000000
     584.792469       0.988694       7.000000
     584.812902       0.988477       7.000000
     584.833335       0.988544       7.000000
     584.853768       0.988651       7.000000
     584.874201       0.988786       7.000000
     584.894634       0.988788       7.000000
     584.915067       0.988626       7.000000
     584.935499       0.988627       7.000000
     584.955933       0.988488       7.000000
     584.976365       0.988618       7.000000
     584.996798       0.988344       7.000000
     585.017231       0.988323       7.000000
     585.037664       0.988557       7.000000
     585.058097       0.988583       7.000000
     585.078530       0.988353       7.000000
     585.098963       0.988455       7.000000
     585.119396       0.988314       7.000000
     585.139829       0.988492       7.000000
     585.160261       0.988489       7.000000
     585.180694       0.988160       7.000000
     585.201127       0.988340       7.000000
     585.221560       0.988295       7.000000
     585.241993       0.988192       7.000000
     585.262426       0.988277       7.000000
     585.282859       0.988349       7.000000
     585.303292       0.988270       7.000000
     585.323725       0.988165       7.000000
     585.344158       0.988443       7.000000
     585.364591       0.988558       7.000000
     585.385024       0.988444       7.000000
     585.405456       0.988491       7.000000
     585.425889       0.988431       7.000000
     585.446322       0.988586       7.000000
     585.466755       0.988553       7.000000
     585.487188       0.988506       7.000000
     585.507621       0.988521       7.000000
     585.528054       0.988335       7.000000
     585.548487       0.988449       7.000000
     585.568920       0.988714       7.000000
     585.589353       0.988431       7.000000
     585.609786       0.988346       7.000000
     585.630218       0.988233       7.000000
     585.650651       0.988415       7.000000
     585.671084       0.988241       7.000000
     585.691517       0.988408       7.000000
     585.711950       0.988149       7.000000
     585.732383       0.988368       7.000000
     585.752816       0.988500       7.000000
     585.773249       0.988469       7.000000
     585.793682       0.988456       7.000000
     585.814115       0.988518       7.000000
     585.834548       0.988437       7.000000
     585.854980       0.988518       7.000000
     585.875413       0.988462       7.000000
     585.895846       0.988551       7.000000
     585.916279       0.988219       7.000000
     585.936712       0.988364       7.000000
     585.957145       0.988224       7.000000
     585.977578       0.988138       7.000000
     585.998011       0.988327       7.000000
     586.018444       0.988319       7.000000
     586.038877       0.988238       7.000000
     586.059310       0.988352       7.000000
     586.079742       0.988545       7.000000
     586.100175       0.988625       7.000000
     586.141041       0.988595       7.000000
     586.161474       0.988598       7.000000
     586.181907       0.988222       7.000000
     586.202340       0.988432       7.000000
     586.222773       0.988329       7.000000
     586.243206       0.988595       7.000000
     586.263639       0.988539       7.000000
     586.284072       0.988290       7.000000
     586.304504       0.988173       7.000000
     586.324937       0.988384       7.000000
     586.345370       0.988355       7.000000
     586.365803       0.988301       7.000000
     586.386236       0.988366       7.000000
     586.406669       0.988388       7.000000
     586.427102       0.988390       7.000000
     586.447535       0.988481       7.000000
     586.467968       0.988377       7.000000
     586.488401       0.988638       7.000000
     586.508834       0.988268       7.000000
     586.529266       0.988576       7.000000
     586.549699       0.988476       7.000000
     586.570132       0.988565       7.000000
     586.590565       0.988247       7.000000
     586.610998       0.988438       7.000000
     586.631431       0.987857       7.000000
